user_id,item_id,rank,score,source
47,418361,1,0.0,itemcf
56,333159,1,0.0,itemcf
98,720483,1,0.0,itemcf
104,671759,1,0.0,itemcf
188,893999,1,0.0,itemcf
220,9105,1,0.0,itemcf
234,448776,1,0.0,itemcf
240,541476,1,0.0,itemcf
280,830098,1,0.0,itemcf
283,931684,1,0.10791172155279137,itemcf
283,362953,2,0.0,itemcf
307,974222,1,0.1618120169063871,itemcf
307,391880,2,0.13999773707508084,itemcf
307,487805,3,0.0,itemcf
323,333159,1,0.0,itemcf
346,304761,1,0.0,itemcf
348,922514,1,0.0,itemcf
384,350413,1,0.22089004045533703,itemcf
384,778415,2,0.0,itemcf
389,671759,1,0.0,itemcf
446,333915,1,0.0,itemcf
447,1099253,1,0.0,itemcf
462,218188,1,0.0,itemcf
474,333159,1,0.0,itemcf
479,585039,1,0.0,itemcf
485,175930,1,0.0,itemcf
543,304761,1,0.0,itemcf
599,783801,1,0.0,itemcf
638,448776,1,0.0,itemcf
654,305410,1,0.08101246343893863,itemcf
654,789857,2,0.0,itemcf
656,492131,1,0.0,itemcf
656,654671,2,0.0,itemcf
680,921985,1,0.0,itemcf
709,305410,1,0.1100864700666146,itemcf
709,789857,2,0.0,itemcf
717,830098,1,0.0,itemcf
753,448776,1,0.0,itemcf
810,490168,1,0.0,itemcf
854,807126,1,0.0,itemcf
857,251929,1,0.0,itemcf
876,209591,1,0.15878554483837945,itemcf
876,853549,2,0.0,itemcf
876,671759,3,0.0,itemcf
890,335377,1,0.0,itemcf
948,751744,1,0.047994776723547586,itemcf
948,197239,2,0.0,itemcf
1029,921985,1,0.0,itemcf
1036,201361,1,0.0,itemcf
1042,671759,1,0.0,itemcf
1071,953159,1,0.19734473133104027,itemcf
1071,614255,2,0.1910741280457437,itemcf
1071,619445,3,0.18663128938647627,itemcf
1071,1043094,4,0.15481385081579835,itemcf
1071,632330,5,0.0,itemcf
1188,893999,1,0.0,itemcf
1188,442084,2,0.0,itemcf
1202,632330,1,0.07669568808527487,itemcf
1202,1043094,2,0.06554795567643319,itemcf
1202,953159,3,0.0,itemcf
1284,830098,1,0.0,itemcf
1414,305410,1,0.0322516425992445,itemcf
1414,789857,2,0.0,itemcf
1442,333159,1,0.0,itemcf
1458,931684,1,0.08571732728708696,itemcf
1458,362953,2,0.0,itemcf
1540,331763,1,0.0,itemcf
1548,201361,1,0.0,itemcf
1598,391988,1,0.0,itemcf
1598,218188,2,0.0,itemcf
1600,886512,1,0.0,itemcf
1638,549837,1,0.0,itemcf
1640,492131,1,0.0,itemcf
1711,67897,1,0.0,itemcf
1772,521434,1,0.2343447978771776,itemcf
1772,587104,2,0.11248771823169966,itemcf
1772,1049137,3,0.0,itemcf
1782,333159,1,0.0,itemcf
1799,783801,1,0.0,itemcf
1806,350413,1,0.07542398388778297,itemcf
1806,778415,2,0.0,itemcf
1856,333159,1,0.0,itemcf
1882,601567,1,0.0,itemcf
1898,921985,1,0.0,itemcf
1898,448776,2,0.0,itemcf
1925,83562,1,0.0,itemcf
1936,918243,1,0.0,itemcf
1941,614255,1,0.16551157559123544,itemcf
1941,619445,2,0.16166311513186357,itemcf
