user_id,item_id,score
0,896056,0.8457709306622477
0,713437,0.8457709306622477
0,897955,0.8457709306622477
0,922900,0.8457709306622477
0,81265,0.8457709306622477
0,576702,0.6660488376033602
0,1092467,0.5980503604017327
0,193139,0.5549768824026946
0,570204,0.355761409809989
0,1076390,0.355761409809989
0,133546,0.355761409809989
0,1004556,0.355761409809989
0,723439,0.355761409809989
0,957593,0.355761409809989
0,772154,0.355761409809989
0,843114,0.355761409809989
0,724166,0.355761409809989
0,895628,0.355761409809989
0,216864,0.355761409809989
0,821593,0.355761409809989
1,943774,1.8024123408391168
1,905242,1.8024123408391168
1,1039922,1.8024123408391168
1,813493,1.8024123408391168
1,62251,1.8024123408391168
1,520284,1.8024123408391168
1,321990,1.8024123408391168
1,553327,1.186873525799121
1,919587,0.9612865817808623
1,942103,0.9612865817808623
1,112507,0.9612865817808623
1,18260,0.9612865817808623
1,586030,0.9612865817808623
1,452175,0.9612865817808623
1,739602,0.9612865817808623
1,1064577,0.9612865817808623
1,54061,0.8984966663643875
1,241685,0.8877906462866507
1,377267,0.8431515167128915
1,534694,0.8431515167128915
2,734976,0.9737767164165043
2,989873,0.9737767164165043
2,58717,0.9737767164165043
2,790406,0.9737767164165043
2,549930,0.9737767164165043
2,322034,0.9737767164165043
2,484695,0.9526076573639717
2,641422,0.9526076573639717
2,198043,0.9526076573639717
2,384803,0.9526076573639717
2,176490,0.9526076573639717
2,574095,0.9377119411445138
2,71683,0.9256776767132788
2,607347,0.89968500973264
2,447721,0.89968500973264
2,345864,0.89968500973264
2,884324,0.89968500973264
2,276317,0.89968500973264
2,361177,0.89968500973264
2,757522,0.89968500973264
3,950151,0.5480464046081996
3,76030,0.4932417641473796
3,249278,0.4932417641473796
3,524698,0.4932417641473796
3,626183,0.4932417641473796
3,314110,0.4932417641473796
3,667979,0.4932417641473796
3,419786,0.4932417641473796
3,386358,0.4932417641473796
3,384284,0.4932417641473796
3,520721,0.4932417641473796
3,328986,0.4932417641473796
3,103199,0.4932417641473796
3,96419,0.4932417641473796
3,33538,0.4932417641473796
3,727590,0.4646769344389749
3,79471,0.4271056049780559
3,1087602,0.3412766219853681
3,579381,0.30516425157681754
3,1055812,0.2608483399727343
4,422247,0.6038987858501303
4,129653,0.6038987858501303
4,82470,0.6038987858501303
4,1069894,0.6038987858501303
4,433724,0.6038987858501303
4,763778,0.6038987858501303
4,431568,0.6038987858501303
4,129067,0.6038987858501303
4,228786,0.6038987858501303
4,1030911,0.6038987858501303
4,612062,0.6038987858501303
4,633594,0.6038987858501303
4,257238,0.6038987858501303
4,448378,0.6038987858501303
4,685160,0.6038987858501303
4,1101654,0.6038987858501303
4,136338,0.6038987858501303
4,581948,0.6038987858501303
4,356064,0.6038987858501303
4,312790,0.6038987858501303
5,143911,1.3333333333333333
5,515028,1.3333333333333333
5,1072962,1.3333333333333333
5,27382,1.3333333333333333
5,848135,1.3333333333333333
5,379069,1.3333333333333333
5,548569,1.3333333333333333
5,613159,1.3333333333333333
5,1041037,1.3333333333333333
5,448366,1.3333333333333333
5,949307,1.3333333333333333
5,459094,1.3333333333333333
5,585527,1.3333333333333333
5,562547,1.3333333333333333
5,1006743,1.3333333333333333
5,489586,1.3333333333333333
5,734785,1.3333333333333333
5,684902,1.2690776584277481
5,224544,0.9428090415820632
5,182899,0.9428090415820632
6,312136,1.9740814899501706
6,567481,1.9740814899501706
6,796746,1.9740814899501706
6,931437,1.9740814899501706
6,623240,1.9740814899501706
6,757821,1.2723701163088181
6,692938,1.2723701163088181
6,337087,1.2723701163088181
6,573578,1.2723701163088181
6,484085,1.2723701163088181
6,905814,1.2723701163088181
6,589384,1.2723701163088181
6,92470,1.2723701163088181
6,207659,1.2723701163088181
6,668972,1.2723701163088181
6,141441,1.1336318915896604
6,826125,1.0495478008114199
6,227447,1.0072112685752488
6,675444,1.0072112685752488
6,97038,1.0072112685752488
7,155871,0.3512024575298763
7,402994,0.3512024575298763
7,898152,0.3512024575298763
7,1006062,0.3512024575298763
7,430420,0.252510484603863
7,869110,0.19954997618508652
7,774685,0.0
7,606985,0.0
7,293327,0.0
7,768559,0.0
7,536300,0.0
7,989660,0.0
7,282,0.0
8,1095561,1.2225462650824461
8,769671,1.2225462650824461
8,988383,1.2225462650824461
8,1037637,1.2225462650824461
8,1086826,1.2225462650824461
8,854823,1.2225462650824461
8,513767,1.2225462650824461
8,594180,1.2225462650824461
8,1103908,1.199878845269505
8,109855,1.1961252872195258
8,915023,1.1961252872195258
8,920409,1.1961252872195258
8,167067,1.1961252872195258
8,391848,1.1961252872195258
8,526175,1.1961252872195258
8,615109,1.1961252872195258
