user_id,item_id,rank,score,source
0,326321,1,0.0,itemcf
0,698318,2,0.0,itemcf
0,406349,3,0.0,itemcf
0,294555,4,0.0,itemcf
0,258882,5,0.0,itemcf
1,233274,1,0.0,itemcf
1,758374,2,0.0,itemcf
1,585039,3,0.0,itemcf
1,601567,4,0.0,itemcf
1,524779,5,0.0,itemcf
1,137298,6,0.0,itemcf
1,1106076,7,0.0,itemcf
2,998103,1,0.0,itemcf
2,1099295,2,0.0,itemcf
2,492131,3,0.0,itemcf
2,335377,4,0.0,itemcf
2,931066,5,0.0,itemcf
2,685857,6,0.0,itemcf
2,830436,7,0.0,itemcf
2,913290,8,0.0,itemcf
2,269842,9,0.0,itemcf
2,758374,10,0.0,itemcf
3,1112375,1,0.0,itemcf
3,521434,2,0.0,itemcf
3,587104,3,0.0,itemcf
3,1049137,4,0.0,itemcf
3,807126,5,0.0,itemcf
4,946684,1,0.0,itemcf
4,333159,2,0.0,itemcf
4,671759,3,0.0,itemcf
5,640887,1,0.0,itemcf
5,121940,2,0.0,itemcf
5,82939,3,0.0,itemcf
5,222610,4,0.0,itemcf
6,181387,1,0.0,itemcf
6,384134,2,0.0,itemcf
6,729209,3,0.0,itemcf
6,830098,4,0.0,itemcf
6,183877,5,0.0,itemcf
6,1045969,6,0.0,itemcf
6,161632,7,0.0,itemcf
6,835159,8,0.0,itemcf
6,576141,9,0.0,itemcf
6,384988,10,0.0,itemcf
7,606985,1,0.0,itemcf
7,768559,2,0.0,itemcf
7,774685,3,0.0,itemcf
7,293327,4,0.0,itemcf
7,536300,5,0.0,itemcf
7,989660,6,0.0,itemcf
7,282,7,0.0,itemcf
8,385046,1,0.0,itemcf
8,413046,2,0.0,itemcf
8,722907,3,0.0,itemcf
8,953159,4,0.0,itemcf
8,997507,5,0.0,itemcf
8,1043094,6,0.0,itemcf
8,316514,7,0.0,itemcf
9,330097,1,0.0,itemcf
9,918243,2,0.0,itemcf
9,856349,3,0.0,itemcf
9,704096,4,0.0,itemcf
10,654799,1,0.0,itemcf
10,221667,2,0.0,itemcf
10,67897,3,0.0,itemcf
10,977920,4,0.0,itemcf
10,780658,5,0.0,itemcf
10,867263,6,0.0,itemcf
11,551228,1,0.0,itemcf
11,923725,2,0.0,itemcf
11,654671,3,0.0,itemcf
11,916938,4,0.0,itemcf
11,1089049,5,0.0,itemcf
11,613801,6,0.0,itemcf
11,468903,7,0.0,itemcf
11,174382,8,0.0,itemcf
11,327754,9,0.0,itemcf
11,735498,10,0.0,itemcf
12,881383,1,0.0,itemcf
12,705878,2,0.0,itemcf
12,1088818,3,0.0,itemcf
12,88361,4,0.0,itemcf
12,582176,5,0.0,itemcf
12,209679,6,0.0,itemcf
